name,code,city_code,state_code,country_code
Dundas Airport,DUN,,GL-U-A,GL
Eqalugaarsuit Heliport,QFG,,GL-U-A,GL
Narsaq Kujalleq Heliport,QFN,,GL-U-A,GL
Godthaab / Nuuk Airport,GOH,,GL-U-A,GL
Qeqertarsuaq Heliport,JGO,,GL-U-A,GL
Iginniarfik,QFI,,GL-U-A,GL
Ikerassaarsuk Heliport,QRY,,GL-U-A,GL
Ilimanaq Heliport,XIQ,,GL-U-A,GL
Ikamiut Heliport,QJI,,GL-U-A,GL
Qaqortoq Heliport,JJU,,GL-U-A,GL
Ilulissat Airport,JAV,,GL-U-A,GL
Kangaatsiaq Heliport,QPW,,GL-U-A,GL
Kulusuk Airport,KUS,,GL-U-A,GL
Upernavik Kujalleq Heliport,UPK,,GL-U-A,GL
Kitsissuarsuit Heliport,QJE,,GL-U-A,GL
Maniitsoq Airport,JSU,,GL-U-A,GL
Niaqornaarsuk Heliport,QMK,,GL-U-A,GL
Nanortalik Heliport,JNN,,GL-U-A,GL
Narsaq Heliport,JNS,,GL-U-A,GL
Bongo Airport,BGP,,GA-8,GA
Paamiut Airport,JFR,,GL-U-A,GL
Qeqertaq Heliport,QQT,,GL-U-A,GL
Qaanaaq Airport,NAQ,,GL-U-A,GL
Ittoqqortoormiit Heliport,OBY,,GL-U-A,GL
Kangerlussuaq Airport,SFJ,SFJ,GL-U-A,GL
Saqqaq Heliport,QUP,,GL-U-A,GL
Sisimiut Airport,JHS,,GL-U-A,GL
Thule Air Base,THU,,GL-U-A,GL
Upernavik Airport,JUV,,GL-U-A,GL
Uummannaq Heliport,UMD,,GL-U-A,GL
Qaarsut Airport,JQA,,GL-U-A,GL
Bahía de los Ángeles Airport,BHL,,MX-BCN,MX
Brighton Downs Airport,BHT,,AU-QLD,AU
Akureyri Airport,AEY,,IS-6,IS
Bildudalur Airport,BIU,,IS-4,IS
Borgarfjörður eystri Airport,BGJ,,IS-7,IS
Bakkafjörður Airport,BJD,,IS-6,IS
Hjaltabakki Airport,BLO,,IS-5,IS
Búðardalur Airport,BQD,,IS-3,IS
Breiðdalsvík Airport,BXV,,IS-7,IS
Djúpivogur Airport,DJU,,IS-7,IS
Egilsstaðir Airport,EGS,,IS-7,IS
Fáskrúðsfjörður Airport,FAS,,IS-7,IS
Fagurhólsmýri Airport,FAG,,IS-7,IS
Grundarfjörður Airport,GUU,,IS-3,IS
Gjögur Airport,GJR,,IS-4,IS
Grímsey Airport,GRY,,IS-6,IS
Hólmavík Airport,HVK,,IS-4,IS
Hornafjordur Airport,HFN,,IS-7,IS
Holt Airport,FLI,,IS-4,IS
Husavik Airport,HZK,,IS-6,IS
Krókstaðarmelar Airport,HVM,,IS-5,IS
Ingjaldssanður Airport,HLO,,IS-4,IS
Ísafjörður Airport,IFJ,,IS-4,IS
Biliau Airport,BIJ,,PG-MPM,PG
Keflavik International Airport,KEF,,IS-2,IS
Kópasker Airport,OPA,,IS-6,IS
Sauðárkrókur Airport,SAK,,IS-5,IS
Norðfjörður Airport,NOR,,IS-7,IS
Ólafsfjörður Airport,OFJ,,IS-6,IS
Patreksfjordur Airport,PFJ,,IS-4,IS
Reykhólar Airport,RHA,,IS-4,IS
Rif Airport,OLI,,IS-3,IS
Raufarhöfn Airport,RFN,,IS-6,IS
Reykjavik Airport,RKV,,IS-1,IS
Reykjahlíð Airport,MVA,,IS-6,IS
Siglufjordur Airport,SIJ,,IS-6,IS
Stykkishólmur Airport,SYK,,IS-3,IS
Þingeyri Airport,TEY,,IS-4,IS
Tálknafjörður Airport,TLK,,IS-4,IS
Thorshofn Airport,THO,,IS-6,IS
Vestmannaeyjar Airport,VEY,,IS-8,IS
Vopnafjörður Airport,VPN,,IS-7,IS
Bimin Airport,BIZ,,PG-SAN,PG
Baleela Airport,BJE,,SD-13,SD
Bahja Airport,BJQ,,OM-WU,OM
Bentota River Waterdrome,BJT,,LK-1,LK
Priština International Airport,PRN,,KS-U-A,XK
Bellows AFS (Bellows Field),BLW,,US-HI,US
Bomai Airport,BMH,,PG-CPK,PG
Bamburi Airport,BMQ,,KE-300,KE
Bamu Airport,BMZ,,PG-WPD,PG
Warm Spring Bay Seaplane Base,BNF,,US-AK,US
Bodinumu Airport,BNM,,PG-CPM,PG
Baganga airport,BNQ,,PH-DAO,PH
Bundi Airport,BNT,,PG-MPM,PG
Boana Airport,BNV,,PG-MPL,PG
Banz Airport,BNZ,,PG-JI,PG
Rurenabaque Airport,RBQ,,BO-B,BO
Baures Airport,BVL,,BO-B,BO
Bolling Air Force Base,BOF,,US-DC,US
Brookings Airport,BOK,,US-OR,US
Boku Airport,BOQ,,PG-NSB,PG
Bosset Airport,BOT,,PG-WPD,PG
Boang Airport,BOV,,PG-NIK,PG
Batuna Aerodrome,BPF,,SB-WE,SB
Bartlett Cove Seaplane Base,BQV,,US-AK,US
Tucumã Airport,TUZ,,BR-PA,BR
Alenquer Airport,ALT,,BR-PA,BR
Suia-Missu Airport,SWM,,BR-MT,BR
Whitesburg Municipal Airport,BRG,,US-KY,US
